group,category,measure
Action,1893,
Action,1894,
Action,1895,
Action,1896,
Action,1897,
Action,1898,
Action,1899,
Action,1900,
Action,1901,2
Action,1902,
Action,1903,6.67
Action,1904,
Action,1905,
Action,1906,
Action,1907,
Action,1908,11.33
Action,1909,
Action,1910,
Action,1911,19
Action,1912,
Action,1913,18.5
Action,1914,12
Action,1915,206
Action,1916,105
Action,1917,
Action,1918,55
Action,1919,37
Action,1920,
Action,1921,119
Action,1922,
Action,1923,70
Action,1924,79
Action,1925,
Action,1926,101.2
Action,1927,93.67
Action,1928,96.4
Action,1929,
Action,1930,104.5
Action,1931,108.6
Action,1932,104.6
Action,1933,97
Action,1934,136
Action,1935,102.88
Action,1936,118.11
Action,1937,129.36
Action,1938,132.38
Action,1939,111
Action,1940,152.6
Action,1941,113.69
Action,1942,108.67
Action,1943,126.44
Action,1944,124.18
Action,1945,125.73
Action,1946,117.9
Action,1947,101.14
Action,1948,91.71
Action,1949,95.39
Action,1950,114.5
Action,1951,90.41
Action,1952,109.72
Action,1953,94.9
Action,1954,95.3
Action,1955,98.23
Action,1956,101.77
Action,1957,96.92
Action,1958,98.5
Action,1959,100.13
Action,1960,106.32
Action,1961,99.07
Action,1962,101.24
Action,1963,101.97
Action,1964,99.44
Action,1965,108.9
Action,1966,99.53
Action,1967,100.48
Action,1968,100.16
Action,1969,106.41
Action,1970,101.97
Action,1971,95.91
Action,1972,98.2
Action,1973,98.01
Action,1974,98.56
Action,1975,99.38
Action,1976,95.49
Action,1977,98.23
Action,1978,101.47
Action,1979,99.38
Action,1980,107.29
Action,1981,103
Action,1982,98.1
Action,1983,99.62
Action,1984,97.27
Action,1985,99.39
Action,1986,97.29
Action,1987,94.8
Action,1988,97.6
Action,1989,99.79
Action,1990,100.98
Action,1991,101.13
Action,1992,96.98
Action,1993,101.77
Action,1994,100.31
Action,1995,100.02
Action,1996,95.44
Action,1997,97.25
Action,1998,96.81
Action,1999,95.53
Action,2000,94.62
Action,2001,92.04
Action,2002,94.94
Action,2003,96.61
Action,2004,100.21
Action,2005,94.4
Animation,1893,
Animation,1894,
Animation,1895,
Animation,1896,
Animation,1897,
Animation,1898,
Animation,1899,
Animation,1900,2
Animation,1901,
Animation,1902,
Animation,1903,
Animation,1904,
Animation,1905,
Animation,1906,3
Animation,1907,15
Animation,1908,2
Animation,1909,1
Animation,1910,
Animation,1911,3
Animation,1912,12
Animation,1913,6
Animation,1914,14
Animation,1915,7.33
Animation,1916,3.67
Animation,1917,
Animation,1918,4.33
Animation,1919,5.33
Animation,1920,
Animation,1921,8
Animation,1922,7.75
Animation,1923,7.67
Animation,1924,4
Animation,1925,7.25
Animation,1926,27.67
Animation,1927,7.5
Animation,1928,9.5
Animation,1929,7.12
Animation,1930,8.73
Animation,1931,7.02
Animation,1932,7.24
Animation,1933,7.16
Animation,1934,7.43
Animation,1935,8.48
Animation,1936,7.48
Animation,1937,8.41
Animation,1938,7.45
Animation,1939,8.46
Animation,1940,9.04
Animation,1941,9.42
Animation,1942,8.26
Animation,1943,7.88
Animation,1944,7.54
Animation,1945,7.18
Animation,1946,9.86
Animation,1947,9.34
Animation,1948,7.9
Animation,1949,9.39
Animation,1950,7.88
Animation,1951,7.94
Animation,1952,7.9
Animation,1953,8.24
Animation,1954,7.91
Animation,1955,9.36
Animation,1956,9.32
Animation,1957,8.54
Animation,1958,11.39
Animation,1959,14.32
Animation,1960,18.15
Animation,1961,10.03
Animation,1962,12.71
Animation,1963,13.95
Animation,1964,19
Animation,1965,13.9
Animation,1966,12.52
Animation,1967,17.14
Animation,1968,12.72
Animation,1969,26.74
Animation,1970,39.5
Animation,1971,31.39
Animation,1972,36.64
Animation,1973,42.33
Animation,1974,32.39
Animation,1975,27
Animation,1976,45.38
Animation,1977,64.5
Animation,1978,42.91
Animation,1979,42.3
Animation,1980,52.54
Animation,1981,49.47
Animation,1982,67.61
Animation,1983,49.84
Animation,1984,39.62
Animation,1985,43.97
Animation,1986,61.72
Animation,1987,50.63
Animation,1988,43.19
Animation,1989,34.89
Animation,1990,30.71
Animation,1991,38.65
Animation,1992,52.17
Animation,1993,36.03
Animation,1994,36.15
Animation,1995,39.25
Animation,1996,30.15
Animation,1997,40.45
Animation,1998,32.97
Animation,1999,28.8
Animation,2000,26.92
Animation,2001,39.66
Animation,2002,28.83
Animation,2003,32.77
Animation,2004,41.21
Animation,2005,69.2
Comedy,1893,
Comedy,1894,
Comedy,1895,
Comedy,1896,1
Comedy,1897,1
Comedy,1898,1
Comedy,1899,2
Comedy,1900,1.4
Comedy,1901,1.25
Comedy,1902,1.5
Comedy,1903,2.13
Comedy,1904,6.1
Comedy,1905,5.67
Comedy,1906,8.5
Comedy,1907,5.83
Comedy,1908,9.88
Comedy,1909,5.14
Comedy,1910,14.5
Comedy,1911,12.5
Comedy,1912,14
Comedy,1913,15.27
Comedy,1914,22.5
Comedy,1915,19.23
Comedy,1916,28.7
Comedy,1917,30.61
Comedy,1918,26.35
Comedy,1919,31.31
Comedy,1920,39.6
Comedy,1921,41.57
Comedy,1922,34.44
Comedy,1923,38.26
Comedy,1924,43.67
Comedy,1925,50.39
Comedy,1926,47.43
Comedy,1927,51.47
Comedy,1928,47.96
Comedy,1929,42.15
Comedy,1930,52.44
Comedy,1931,49.97
Comedy,1932,46.17
Comedy,1933,49.36
Comedy,1934,54.72
Comedy,1935,54.34
Comedy,1936,46.28
Comedy,1937,50.71
Comedy,1938,50.84
Comedy,1939,47.51
Comedy,1940,50.3
Comedy,1941,55.53
Comedy,1942,49.66
Comedy,1943,50.1
Comedy,1944,53.99
Comedy,1945,53.82
Comedy,1946,48.35
Comedy,1947,53.36
Comedy,1948,48.26
Comedy,1949,54.52
Comedy,1950,52.11
Comedy,1951,54.17
Comedy,1952,58.56
Comedy,1953,57.6
Comedy,1954,54.96
Comedy,1955,60.27
Comedy,1956,60.23
Comedy,1957,66.54
Comedy,1958,73.46
Comedy,1959,77.12
Comedy,1960,80.84
Comedy,1961,79.19
Comedy,1962,82.05
Comedy,1963,87.32
Comedy,1964,87.18
Comedy,1965,77.07
Comedy,1966,85.31
Comedy,1967,86.74
Comedy,1968,91.27
Comedy,1969,92.35
Comedy,1970,96.17
Comedy,1971,97.76
Comedy,1972,96.41
Comedy,1973,93.69
Comedy,1974,93.43
Comedy,1975,96.38
Comedy,1976,93.36
Comedy,1977,93.26
Comedy,1978,92.58
Comedy,1979,93.26
Comedy,1980,96.2
Comedy,1981,93.26
Comedy,1982,95.02
Comedy,1983,92.71
Comedy,1984,94.54
Comedy,1985,92.4
Comedy,1986,92.84
Comedy,1987,93.3
Comedy,1988,91.08
Comedy,1989,92.75
Comedy,1990,92.33
Comedy,1991,90.56
Comedy,1992,91.28
Comedy,1993,92.32
Comedy,1994,91.06
Comedy,1995,88.11
Comedy,1996,87.76
Comedy,1997,87.04
Comedy,1998,87.39
Comedy,1999,81.24
Comedy,2000,79.51
Comedy,2001,80.71
Comedy,2002,76.88
Comedy,2003,75.26
Comedy,2004,76.27
Comedy,2005,89.33
Drama,1893,
Drama,1894,
Drama,1895,
Drama,1896,4
Drama,1897,
Drama,1898,1
Drama,1899,2.5
Drama,1900,2.5
Drama,1901,4.4
Drama,1902,1
Drama,1903,3
Drama,1904,10
Drama,1905,8.25
Drama,1906,9.8
Drama,1907,8
Drama,1908,8.63
Drama,1909,11.07
Drama,1910,15.5
Drama,1911,16.79
Drama,1912,28.86
Drama,1913,60.77
Drama,1914,61.62
Drama,1915,77
Drama,1916,68.08
Drama,1917,74.57
Drama,1918,72.21
Drama,1919,74.65
Drama,1920,96.36
Drama,1921,92.7
Drama,1922,101.25
Drama,1923,87.3
Drama,1924,111.13
Drama,1925,91.67
Drama,1926,92.03
Drama,1927,88.9
Drama,1928,87.06
Drama,1929,81.51
Drama,1930,78.48
Drama,1931,80.47
Drama,1932,78.53
Drama,1933,77.06
Drama,1934,80.48
Drama,1935,80.54
Drama,1936,78.07
Drama,1937,82.63
Drama,1938,82.2
Drama,1939,79.7
Drama,1940,88.47
Drama,1941,87.33
Drama,1942,85.42
Drama,1943,90.67
Drama,1944,92.03
Drama,1945,92.27
Drama,1946,91.8
Drama,1947,93.35
Drama,1948,93.66
Drama,1949,92.87
Drama,1950,89.98
Drama,1951,91.37
Drama,1952,93.08
Drama,1953,93.04
Drama,1954,95.51
Drama,1955,95.09
Drama,1956,97.16
