year,gender,race,age_group,death_cause,population,deaths,capita
All,Both,A,10-14,A,312964264,3982,1.27234974
All,Both,A,15-19,A,319240345,24460,7.661938844
All,Both,A,20-24,A,313751024,40102,12.78147223
All,Both,A,25-34,A,604708107,80425,13.29980516
All,Both,A,35-44,A,643765622,99476,15.45220754
All,Both,A,45-54,A,632894843,110375,17.43970601
All,Both,A,55-64,A,474885795,72734,15.31610353
All,Both,A,05-09,A,300766269,76,0.025268791
All,Both,A,65-74,A,303670611,40471,13.32726926
All,Both,A,75-84,A,194142691,32407,16.6923616
All,Both,A,85+,A,74407605,13219,17.76565715
All,Both,A,10-14,P,312964264,0,0
All,Both,A,15-19,P,319240345,0,0
All,Both,A,20-24,P,313751024,0,0
All,Both,A,25-34,P,604708107,0,0
All,Both,A,35-44,P,643765622,0,0
All,Both,A,45-54,P,632894843,0,0
All,Both,A,55-64,P,474885795,0,0
All,Both,A,05-09,P,300766269,0,0
All,Both,A,65-74,P,303670611,0,0
All,Both,A,75-84,P,194142691,0,0
All,Both,A,85+,P,74407605,0,0
All,Both,A,10-14,H,312964264,146,0.046650694
All,Both,A,15-19,H,319240345,1633,0.511526825
All,Both,A,20-24,H,313751024,3583,1.141988305
All,Both,A,25-34,H,604708107,11719,1.937959797
All,Both,A,35-44,H,643765622,21373,3.319997103
All,Both,A,45-54,H,632894843,26282,4.152664584
All,Both,A,55-64,H,474885795,15001,3.158864754
All,Both,A,05-09,H,300766269,1,0.000332484
All,Both,A,65-74,H,303670611,5121,1.68636668
All,Both,A,75-84,H,194142691,3046,1.568949098
All,Both,A,85+,H,74407605,1353,1.818362518
All,Both,A,10-14,G,312964264,2487,0.794659418
All,Both,A,15-19,G,319240345,9730,3.047860382
All,Both,A,20-24,G,313751024,13144,4.189309036
All,Both,A,25-34,G,604708107,25070,4.145801869
All,Both,A,35-44,G,643765622,25703,3.99260214
All,Both,A,45-54,G,632894843,21829,3.449072187
All,Both,A,55-64,G,474885795,10809,2.2761262
All,Both,A,05-09,G,300766269,67,0.022276434
All,Both,A,65-74,G,303670611,4199,1.38274823
All,Both,A,75-84,G,194142691,3053,1.572554694
All,Both,A,85+,G,74407605,1652,2.220203163
All,Both,A,10-14,D,312964264,7,0.002236677
All,Both,A,15-19,D,319240345,165,0.051685197
All,Both,A,20-24,D,313751024,412,0.131314312
All,Both,A,25-34,D,604708107,808,0.133618185
All,Both,A,35-44,D,643765622,1120,0.173976361
All,Both,A,45-54,D,632894843,1131,0.178702673
All,Both,A,55-64,D,474885795,826,0.173936557
All,Both,A,05-09,D,300766269,1,0.000332484
All,Both,A,65-74,D,303670611,500,0.164652087
All,Both,A,75-84,D,194142691,369,0.190066388
All,Both,A,85+,D,74407605,218,0.292980805
All,Both,A,10-14,F,312964264,1246,0.398128522
All,Both,A,15-19,F,319240345,11399,3.570663977
All,Both,A,20-24,F,313751024,20073,6.397748044
All,Both,A,25-34,F,604708107,37153,6.143955996
All,Both,A,35-44,F,643765622,44118,6.853115248
All,Both,A,45-54,F,632894843,52932,8.363474689
All,Both,A,55-64,F,474885795,41208,8.677454755
All,Both,A,05-09,F,300766269,5,0.00166242
All,Both,A,65-74,F,303670611,28443,9.366398647
All,Both,A,75-84,F,194142691,24430,12.58352806
